Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
2020-01-22,0,0,597,0,0,0,597,0.0,0.0,0.0
2020-01-23,4061,0,1319,2742,4061,0,722,0.0,32.48,0.0
2020-01-24,8959,0,1319,7640,4898,0,0,0.0,14.72,0.0
2020-01-25,8959,0,1319,7640,0,0,0,0.0,14.72,0.0
2020-01-26,8959,0,1319,7640,0,0,0,0.0,14.72,0.0
2020-01-27,8959,0,1319,7640,0,0,0,0.0,14.72,0.0
2020-01-28,8959,0,2396,6563,0,0,1077,0.0,26.74,0.0
2020-01-29,10486,0,3719,6767,1527,0,1323,0.0,35.47,0.0
2020-01-30,16468,115,5167,11186,5982,115,1448,0.7,31.38,2.23
2020-01-31,23286,236,5167,17883,6818,121,0,1.01,22.19,4.57
2020-02-01,24613,236,5167,19210,1327,0,0,0.96,20.99,4.57
2020-02-02,24613,236,5167,19210,0,0,0,0.96,20.99,4.57
2020-02-03,24613,236,5167,19210,0,0,0,0.96,20.99,4.57
2020-02-04,24613,236,6971,17406,0,0,1804,0.96,28.32,3.39
2020-02-05,28061,441,9021,18599,3448,205,2050,1.57,32.15,4.89
2020-02-06,35964,953,11196,23815,7903,512,2175,2.65,31.13,8.51
2020-02-07,44703,1471,11196,32036,8739,518,0,3.29,25.05,13.14
2020-02-08,47950,1471,11196,35283,3247,0,0,3.07,23.35,13.14
2020-02-09,47950,1471,11196,35283,0,0,0,3.07,23.35,13.14
2020-02-10,47950,1471,11196,35283,0,0,0,3.07,23.35,13.14
2020-02-11,47950,1855,14016,32079,0,384,2820,3.87,29.23,13.23
2020-02-12,53318,2471,17742,33105,5368,616,3726,4.63,33.28,13.93
2020-02-13,63141,3400,20854,38887,9823,929,3112,5.38,33.03,16.3
2020-02-14,73800,4338,21607,47855,10659,938,753,5.88,29.28,20.08
2020-02-15,78968,4598,22354,52016,5168,260,747,5.82,28.31,20.57
2020-02-16,78968,4598,22354,52016,0,0,0,5.82,28.31,20.57
2020-02-17,78968,4598,24235,50135,0,0,1881,5.82,30.69,18.97
2020-02-18,80425,5419,28603,46403,1457,821,4368,6.74,35.56,18.95
2020-02-19,87714,6479,33543,47692,7289,1060,4940,7.39,38.24,19.32
2020-02-20,99458,7920,38513,53025,11744,1441,4970,7.96,38.72,20.56
2020-02-21,112038,9320,40384,62334,12580,1400,1871,8.32,36.04,23.08
2020-02-22,119127,10015,42516,66596,7089,695,2132,8.41,35.69,23.56
2020-02-23,119127,10015,42516,66596,0,0,0,8.41,35.69,23.56
2020-02-24,119127,10110,44507,64510,0,95,1991,8.49,37.36,22.72
2020-02-25,122505,11380,49400,61725,3378,1270,4893,9.29,40.32,23.04
2020-02-26,131716,12853,54361,64502,9211,1473,4961,9.76,41.27,23.64
2020-02-27,145382,14642,59391,71349,13666,1789,5030,10.07,40.85,24.65
2020-02-28,160321,16424,65746,78151,14939,1782,6355,10.24,41.01,24.98
2020-02-29,170205,17458,69663,83084,9884,1034,3917,10.26,40.93,25.06
2020-03-01,170205,17722,69663,82820,0,264,0,10.41,40.93,25.44
2020-03-02,170205,18511,72053,79641,0,789,2390,10.88,42.33,25.69
2020-03-03,177687,20261,77457,79969,7482,1750,5404,11.4,43.59,26.16
2020-03-04,191438,22112,83055,86271,13751,1851,5598,11.55,43.38,26.62
2020-03-05,210729,24271,88287,98171,19291,2159,5232,11.52,41.9,27.49
2020-03-06,231941,26431,90675,114835,21212,2160,2388,11.4,39.09,29.15
2020-03-07,248747,27857,93220,127670,16806,1426,2545,11.2,37.48,29.88
2020-03-08,256274,28475,93220,134579,7527,618,0,11.11,36.38,30.55
2020-03-09,261817,29289,95694,136834,5543,814,2474,11.19,36.55,30.61
2020-03-10,278167,31271,101332,145564,16350,1982,5638,11.24,36.43,30.86
2020-03-11,301792,33510,107320,160962,23625,2239,5988,11.1,35.56,31.22
2020-03-12,331314,36016,113472,181826,29522,2506,6152,10.87,34.25,31.74
2020-03-13,363115,38536,116879,207700,31801,2520,3407,10.61,32.19,32.97
2020-03-14,390868,40333,120419,230116,27753,1797,3540,10.32,30.81,33.49
2020-03-15,409699,41364,120419,247916,18831,1031,0,10.1,29.39,34.35
2020-03-16,426904,42600,124359,259945,17205,1236,3940,9.98,29.13,34.26
2020-03-17,455273,45001,131229,279043,28369,2401,6870,9.88,28.82,34.29
2020-03-18,490917,47642,138561,304714,35644,2641,7332,9.7,28.22,34.38
2020-03-19,532459,50605,145919,335935,41542,2963,7358,9.5,27.4,34.68
2020-03-20,576280,53562,150564,372154,43821,2957,4645,9.29,26.13,35.57
2020-03-21,616052,55805,155750,404497,39772,2243,5186,9.06,25.28,35.83
2020-03-22,646903,57270,155750,433883,30851,1465,0,8.85,24.08,36.77
2020-03-23,676128,58944,160979,456205,29225,1674,5229,8.72,23.81,36.62
2020-03-24,716517,61814,169266,485437,40389,2870,8287,8.63,23.62,36.52
2020-03-25,764181,64913,178201,521067,47664,3099,8935,8.49,23.32,36.43
2020-03-26,817743,68318,188207,561218,53562,3405,10006,8.35,23.02,36.3
2020-03-27,873584,71727,194639,607218,55841,3409,6432,8.21,22.28,36.85
2020-03-28,925376,74435,204300,646641,51792,2708,9661,8.04,22.08,36.43
2020-03-29,968246,76447,204300,687499,42870,2012,0,7.9,21.1,37.42
2020-03-30,1009490,78603,212833,718054,41244,2156,8533,7.79,21.08,36.93
2020-03-31,1061899,82160,225702,754037,52409,3557,12869,7.74,21.25,36.4
2020-04-01,1121582,85854,239239,796489,59683,3694,13537,7.65,21.33,35.89
2020-04-02,1187163,89853,254245,843065,65581,3999,15006,7.57,21.42,35.34
2020-04-03,1255023,93958,269348,891717,67860,4105,15103,7.49,21.46,34.88
2020-04-04,1318594,97354,285184,936056,63571,3396,15836,7.38,21.63,34.14
2020-04-05,1373003,100075,289432,983496,54409,2721,4248,7.29,21.08,34.58
2020-04-06,1425545,103207,306670,1015668,52542,3132,17238,7.24,21.51,33.65
2020-04-07,1489011,107543,330123,1051345,63466,4336,23453,7.22,22.17,32.58
2020-04-08,1559511,112167,353459,1093885,70500,4624,23336,7.19,22.66,31.73
2020-04-09,1635192,117098,380384,1137710,75681,4931,26925,7.16,23.26,30.78
2020-04-10,1712435,122254,408772,1181409,77243,5156,28388,7.14,23.87,29.91
2020-04-11,1784912,126615,437804,1220493,72477,4361,29032,7.09,24.53,28.92
2020-04-12,1847750,130457,455448,1261845,62838,3842,17644,7.06,24.65,28.64
2020-04-13,1908245,134803,482791,1290651,60495,4346,27343,7.06,25.3,27.92
2020-04-14,1979187,140317,515026,1323844,70942,5514,32235,7.09,26.02,27.24
2020-04-15,2056446,146092,551779,1358575,77259,5775,36753,7.1,26.83,26.48
2020-04-16,2138644,151897,588637,1398110,82198,5805,36858,7.1,27.52,25.8
2020-04-17,2222163,157802,624516,1439845,83519,5905,35879,7.1,28.1,25.27
2020-04-18,2300675,163254,661205,1476216,78512,5452,36689,7.1,28.74,24.69
2020-04-19,2369308,167885,684426,1516997,68633,4631,23221,7.09,28.89,24.53
2020-04-20,2435356,172796,717159,1545401,66048,4911,32733,7.1,29.45,24.09
2020-04-21,2511610,178852,753502,1579256,76254,6056,36343,7.12,30.0,23.74
2020-04-22,2594181,184975,791787,1617419,82571,6123,38285,7.13,30.52,23.36
2020-04-23,2681692,191092,832861,1657739,87511,6117,41074,7.13,31.06,22.94
2020-04-24,2770523,197174,872258,1701091,88831,6082,39397,7.12,31.48,22.61
2020-04-25,2854348,202575,912343,1739430,83825,5401,40085,7.1,31.96,22.2
2020-04-26,2928293,207324,936231,1784738,73945,4749,23888,7.08,31.97,22.14
2020-04-27,2999653,212271,980195,1807187,71360,4947,43964,7.08,32.68,21.66
2020-04-28,3081220,218313,1017857,1845050,81567,6042,37662,7.09,33.03,21.45
2020-04-29,3169103,224198,1056256,1888649,87883,5885,38399,7.07,33.33,21.23
2020-04-30,3261926,230868,1099059,1931999,92823,6670,42803,7.08,33.69,21.01
2020-05-01,3356070,236667,1145037,1974366,94144,5799,45978,7.05,34.12,20.67
2020-05-02,3445207,241682,1188293,2015232,89137,5015,43256,7.02,34.49,20.34
2020-05-03,3524464,246143,1214626,2063695,79257,4461,26333,6.98,34.46,20.26
2020-05-04,3601137,251156,1256471,2093510,76673,5013,41845,6.97,34.89,19.99
2020-05-05,3688016,256981,1299384,2131651,86879,5825,42913,6.97,35.23,19.78
2020-05-06,3781212,262541,1343793,2174878,93196,5560,44409,6.94,35.54,19.54
2020-05-07,3879347,268479,1390234,2220634,98135,5938,46441,6.92,35.84,19.31
2020-05-08,3978803,274155,1437941,2266707,99456,5676,47707,6.89,36.14,19.07
2020-05-09,4073260,279059,1489383,2304818,94457,4904,51442,6.85,36.56,18.74
2020-05-10,4157845,283216,1524708,2349921,84585,4157,35325,6.81,36.67,18.58
2020-05-11,4239854,287756,1569087,2383011,82009,4540,44379,6.79,37.01,18.34
2020-05-12,4332077,293591,1615777,2422709,92223,5835,46690,6.78,37.3,18.17
2020-05-13,4430625,299210,1665868,2465547,98548,5619,50091,6.75,37.6,17.96
2020-05-14,4534120,304711,1718327,2511082,103495,5501,52459,6.72,37.9,17.73
2020-05-15,4638974,310008,1770270,2558696,104854,5297,51943,6.68,38.16,17.51
2020-05-16,4738859,314655,1824444,2599760,99885,4647,54174,6.64,38.5,17.25
2020-05-17,4828903,318578,1865098,2645227,90044,3923,40654,6.6,38.62,17.08
2020-05-18,4916401,322705,1917731,2675965,87498,4127,52633,6.56,39.01,16.83
2020-05-19,5014143,328008,1973780,2712355,97742,5303,56049,6.54,39.36,16.62
2020-05-20,5118240,333281,2032373,2752586,104097,5273,58593,6.51,39.71,16.4
2020-05-21,5227465,338666,2095646,2793153,109225,5385,63273,6.48,40.09,16.16
2020-05-22,5338199,343912,2157221,2837066,110734,5246,61575,6.44,40.41,15.94
2020-05-23,5444115,348437,2220718,2874960,105916,4525,63497,6.4,40.79,15.69
2020-05-24,5540340,352401,2270056,2917883,96225,3964,49338,6.36,40.97,15.52
2020-05-25,5634169,356471,2329511,2948187,93829,4070,59455,6.33,41.35,15.3
2020-05-26,5738393,361681,2393019,2983693,104224,5210,63508,6.3,41.7,15.11
2020-05-27,5849481,366815,2460356,3022310,111088,5134,67337,6.27,42.06,14.91
2020-05-28,5966056,371900,2529243,3064913,116575,5085,68887,6.23,42.39,14.7
2020-05-29,6084499,376843,2600568,3107088,118443,4943,71325,6.19,42.74,14.49
2020-05-30,6198483,381224,2672709,3144550,113984,4381,72141,6.15,43.12,14.26
2020-05-31,6303135,384780,2732918,3185437,104652,3556,60209,6.1,43.36,14.08
2020-06-01,6405750,388773,2800624,3216353,102615,3993,67706,6.07,43.72,13.88
2020-06-02,6519500,393826,2875870,3249804,113750,5053,75246,6.04,44.11,13.69
2020-06-03,6640496,398978,2955313,3286205,120996,5152,79443,6.01,44.5,13.5
2020-06-04,6767361,403863,3038133,3325365,126865,4885,82820,5.97,44.89,13.29
2020-06-05,6896475,408928,3120245,3367302,129114,5065,82112,5.93,45.24,13.11
2020-06-06,7021512,413413,3203610,3404489,125037,4485,83365,5.89,45.63,12.9
2020-06-07,7137598,417212,3274802,3445584,116086,3799,71192,5.85,45.88,12.74
2020-06-08,7252495,421230,3355978,3475287,114897,4018,81176,5.81,46.27,12.55
2020-06-09,7378993,426284,3438328,3514381,126498,5054,82350,5.78,46.6,12.4
2020-06-10,7513202,431452,3523822,3557928,134209,5168,85494,5.74,46.9,12.24
2020-06-11,7653746,436561,3613934,3603251,140544,5109,90112,5.7,47.22,12.08
